organizationid,organization,type
1,Hero Association,Hero
2,Villain Association,Villain
3,Monster Association,Monster
4,Metal Knight's Organization,Hero
5,House of Evolution,Monster
6,Ninja Clan,Hero
7,Seafolk,Monster
8,Psychic Sisters,Hero
9,Hero Dojo,Hero
10,Unknown Organization,Unknown
11,Cyborg Corporation,Hero
12,Mysterious Organization,Unknown
13,Rogue Heroes,Hero
14,Dark Syndicate,Villain
15,Exotic Beasts,Monster
16,Evil Geniuses,Villain
17,Terror Twins,Villain
18,Metal Corps,Hero
19,Shadow Organization,Villain
20,Secret Society,Unknown
